,idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja
0,10,E-Purchasing,Pengadaan Lemari Besi Fireproof,Kementerian Keuangan,-,Barang,2023-10-01,9,22319671,23000000,1,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO
1,10,E-Purchasing,Pengadaan Lemari Besi Fireproof,Kementerian Keuangan,-,Barang,2023-10-01,9,22319671,23000000,1,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO
2,4,Pengadaan Langsung,Pengadaan Kursi Pejabat,Pemerintah Daerah Kabupaten Buton Tengah,-,Barang,2023-04-01,8,20854093,5000000,1,DINAS KOMUNIKASI INFORMATIKA STATISTIK DAN PERSANDIAN
3,1,Pengadaan Langsung,Belanja Bahan Pakai Habis,Pemerintah Daerah Kota Depok,-,Barang,2021-01-01,8,20376353,10513000,1,DINAS KETAHANAN PANGAN PERTANIAN DAN PERIKANAN
4,12,Pengadaan Langsung,Pengadaan Frame Acrilik Poster,Kementerian Kesehatan,-,Barang,2020-12-01,8,22867952,120000000,1,SEKRETARIAT DIREKTORAT JENDERAL PELAYANAN KESEHATAN
5,12,Tender Cepat,Pengadaan Malware Detonation,Kementerian Hukum Dan Hak Asasi Manusia RI,-,Barang,2020-12-01,14,22726379,2000000000,1,DIREKTORAT JENDERAL ADMINISTRASI HUKUM UMUM
6,12,Pengadaan Langsung,Belanja Smart Card PKB,Pemerintah Daerah Kabupaten Bantul,-,Barang,2020-12-01,8,22764274,250000000,1,Dinas Perhubungan
7,11,Tender,Pembangunan IPA Kapasitas  50 l/dt SPAM KSPN Tanjung Lesung Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Pandeglang (Kab.), ","Pekerjaan Konstruksi, ",2020-11-01,13,22742317,47396910000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI BANTEN
8,11,E-Purchasing,Belanja modal pengadaan alat kedokteran umum dari SILPA Dana Kapitasi JKN,Pemerintah Daerah Kabupaten Klungkung,-,Barang,2020-11-01,9,22962548,6545000,1,DINAS KESEHATAN
9,11,Pengadaan Langsung,Pengadaan Bahan Operasional Lapang,Kementerian Kelautan Dan Perikanan,-,Barang,2020-11-01,8,22576098,90000000,1,BALAI BUDIDAYA AIR PAYAU SITUBONDO
10,11,E-Purchasing,Belanja Modal pengadaan laptop,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-11-01,9,22600005,7100000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
11,11,Tender,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat.,Pemerintah Daerah Provinsi Kepulauan Bangka Belitung,-,Barang,2020-11-01,13,22550804,260000000,1,DINAS PANGAN PROVINSI KEPULAUAN BANGKA BELITUNG
12,11,E-Purchasing,Belanja Handycam  (PAK BIP),Pemerintah Daerah Kota Malang,-,Barang,2020-11-01,9,22428330,121940000,1,DINAS KOMUNIKASI DAN INFORMATIKA
13,11,E-Purchasing,Belanja Modal Pengadaan Komputer,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-11-01,9,22599967,9810000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
14,11,E-Purchasing,Belanja Modal Jaringan Nik Kabel(Router),Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-11-01,9,22600038,990000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
15,11,Pengadaan Langsung,Belanja Modal Pengadaan Meubelair PPID,Pemerintah Daerah Kota Bontang,-,Barang,2020-11-01,8,22086618,100000000,1,SEKRETARIAT DAERAH KOTA BONTANG
16,11,E-Purchasing,Belanja Modal Hardis Eksternal,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-11-01,9,22600070,1100000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
17,10,Tender,Pengadaan Meubelair Rumah Susun Pemkab Ogan Komering Timur,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Selatan-Palembang (Kota), ","Barang, ",2020-10-01,13,22745077,1280000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI SUMATERA SELATAN
18,10,Pengadaan Langsung,Penghargaan Pegawai Terbaik,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-10-01,8,22745319,100000000,0,622241
19,10,Tender,Pembangunan SPAM Regional Benteng Kobema Kap. 400 L/det Provinsi Bengkulu (IPA dan JDU),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bengkulu-Bengkulu (Kota), ","Pekerjaan Konstruksi, ",2020-10-01,13,22742190,10010000000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI BENGKULU
20,10,Seleksi,Supervisi Pembangunan SPAM Regional Benteng Kobema Kap. 400 L/det Provinsi Bengkulu (IPA dan JDU),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bengkulu-Bengkulu (Kota), ","Jasa Konsultansi, ",2020-10-01,15,22742189,450000000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI BENGKULU
21,10,Penunjukan Langsung,belanja dekorasi,Pemerintah Daerah Kabupaten Batanghari,-,Jasa Lainnya,2020-10-01,7,22773078,15000000,4,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL
22,10,Pengadaan Langsung,Belanja Alat listrik dan elektronik,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-10-01,8,22661290,38180000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
23,10,E-Purchasing,Belanja modal pengadaan hardisk,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-10-01,9,22625751,1020000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
24,10,E-Purchasing,belanja modal pengadaan komputer note book (tablet),Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-10-01,9,22625237,66000000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
25,10,Pengadaan Langsung,Belanja Penggandaan (Penguatan Program Sarana Prasarana SMK),Pemerintah Daerah Provinsi Banten,-,Barang,2020-10-01,8,22721929,14975000,1,DINAS PENDIDIKAN DAN KEBUDAYAAN
26,10,Pengadaan Langsung,Penginapan Wawasan Nusantara 2019,Pemerintah Daerah Kabupaten Musi Banyuasin,-,Jasa Lainnya,2020-10-01,8,21910966,36000000,4,DINAS PEMUDA DAN OLAHRAGA DAN PARIWISATA
27,10,Pengadaan Langsung,Pembuatan video kegiatan Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Pandeglang,Pemerintah Daerah Kabupaten Pandeglang,-,Jasa Konsultansi,2020-10-01,8,22762471,25000000,3,Dinas Pekerjaan Umum dan Penataan Ruang
28,10,Pengadaan Langsung,Belanja bahan obat obatan,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-10-01,8,22661428,9503600,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
29,10,E-Purchasing,Belanja Modal Peralatan dan Mesin â€‘ Pengadaan Personal Komputer,Pemerintah Daerah Kabupaten Kutai Barat,-,Barang,2020-10-01,9,22357076,45000000,1,DINAS KESEHATAN
30,10,E-Purchasing,Belanja modal pengadaan komputer note book,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-10-01,9,22625671,17980000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
31,10,Pengadaan Langsung,"Belanja Bibit Singkong , Pupuk NPK, Pupuk Kandang dan Herbisida",Pemerintah Daerah Kabupaten Kutai Barat,-,Barang,2020-10-01,8,22700194,194250000,1,DINAS PERTANIAN
32,9,Seleksi,Supervisi Pembangunan IPA Kapasitas  50 l/dt SPAM KSPN Tanjung Lesung Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Pandeglang (Kab.), ","Jasa Konsultansi, ",2020-09-01,15,22742316,1738000000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI BANTEN
33,9,Pengadaan Langsung,Kapak dua fungsi,Pemerintah Daerah Provinsi Kalimantan Timur,"Kalimantan Timur-Paser (Kab.), ","Barang, ",2020-09-01,8,22139844,151000000,0,Dinas Kehutanan
34,8,Pengadaan Langsung,WORKSHOP PENELOLAAN HKI,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-08-01,8,22745318,120000000,0,622241
35,8,Pengadaan Langsung,Iklan lelang di koran,Kementerian Pertanian,-,Jasa Lainnya,2020-08-01,8,22472521,15000000,4,DIREKTORAT JENDERAL HORTIKULTURA
36,7,Pengadaan Langsung,Pembuatan Desain dan Konstruksi Stand Pameran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-07-01,8,22745317,185000000,0,622241
37,7,Pengadaan Langsung,Audio Visual,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Surakarta (Kota), ","Jasa Lainnya, ",2020-07-01,8,22745338,50000000,0,BALAI PENELITIAN DAN PENGEMBANGAN SUNGAI SURAKARTA
38,7,Pengadaan Langsung,Pembuatan Video E Learning Standar,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-07-01,8,22745316,85000000,0,622241
39,7,Seleksi,DED Review Tanjung Lesung,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Tangerang (Kota), ","Jasa Konsultansi, ",2020-07-01,15,22741946,500000000,0,BALAI PRASARANA PERMUKIMAN WILAYAH BANTEN
40,7,Pengadaan Langsung,Pengadaan Peralatan Pendukung Layanan Akademik,"Kementerian Riset, Teknologi, dan Pendidikan Tinggi",-,Barang,2020-07-01,8,22117937,194267000,1,POLITEKNIK NEGERI INDRAMAYU
41,7,E-Purchasing,Belanja Modal Pengadaan Kelengkapan/ Accesories Komputer dan Jaringan,Pemerintah Daerah Provinsi Jawa Barat,-,Barang,2020-07-01,9,22674029,84677200,1,BADAN PENDAPATAN DAERAH PROVINSI JAWA BARAT
42,7,Pengadaan Langsung,Belanja Peralatan Kebersihan dan Bahan Pembersih,Pemerintah Daerah Provinsi D. I. Yogyakarta,-,Barang,2020-07-01,8,22661363,65398000,1,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA
43,7,E-Purchasing,Kendaraan operasional,Kementerian Pertanian,-,Barang,2020-07-01,9,22471738,2394800000,1,DIREKTORAT JENDERAL HORTIKULTURA
44,7,E-Purchasing,Pengadaan Peralatan Mebeulair Pendukung Layanan Akademik,"Kementerian Riset, Teknologi, dan Pendidikan Tinggi",-,Barang,2020-07-01,9,22117938,2126546000,1,POLITEKNIK NEGERI INDRAMAYU
45,7,Tender,pengadaan Meubelair,Kepolisian Negara Republik Indonesia,-,Barang,2020-07-01,13,22688720,1365000000,1,POLRES SORONG SELATAN
46,6,Pengadaan Langsung,Bimbingan Teknis Pertemuan Pengelola Simpul Layanan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-06-01,8,22745315,100000000,0,622241
47,6,Pengadaan Langsung,Pengadaan Perangkat Pengolah Data dan Komunikasi,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-06-01,8,22741906,497838000,0,BALAI PRASARANA PERMUKIMAN WILAYAH SUMATERA UTARA
48,6,e-Purchasing,Pengadaan Kendaraan Operasional,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-06-01,9,22741907,544560000,0,BALAI PRASARANA PERMUKIMAN WILAYAH SUMATERA UTARA
49,6,Pengadaan Langsung,Jasa Konsultansi Pengawasan Pembangunan Unit Sekolah Baru SMA (8),Pemerintah Daerah Provinsi Banten,-,Jasa Konsultansi,2020-06-01,8,22653219,99996700,3,DINAS PENDIDIKAN DAN KEBUDAYAAN
50,6,Seleksi,Pengawasan Pembangunan Barak SPN Singkawang Tahap II,Pemerintah Daerah Provinsi Kalimantan Barat,-,Jasa Konsultansi,2020-06-01,15,22550970,200000000,3,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG PROV KALBAR
51,6,Pengadaan Langsung,Belanja Bahan Pakai Habis,Pemerintah Daerah Kabupaten Pati,-,Barang,2020-06-01,8,22930274,675000,1,DINAS PERDAGANGAN DAN PERINDUSTRIAN
52,5,Tender,Optimalisasi SPAM SWRO Tanjung Pinang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kepulauan Riau-Tanjung Pinang (Kota), ","Pekerjaan Konstruksi, ",2020-05-01,13,22742166,4500000000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI KEPULAUAN RIAU
53,5,e-Purchasing,Pengadaan Alat Pengolah Data,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-05-01,9,22745320,200000000,0,622241
54,5,Tender,Pembangunan Pasar Tempe Sengkang Kab. Wajo,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sulawesi Selatan-Wajo (Kab.), ","Pekerjaan Konstruksi, ",2020-05-01,13,22742795,56457020000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH II PROVINSI SULAWESI SELATAN
55,5,Seleksi,Manajemen Konstruksi Pembangunan Pasar Tempe Sengkang Kab. Wajo,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sulawesi Selatan-Wajo (Kab.), ","Jasa Konsultansi, ",2020-05-01,15,22742794,2443000000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH II PROVINSI SULAWESI SELATAN
56,5,Tender,Peralatan Pengujian,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-05-01,13,22740840,3423414000,0,BALAI JEMBATAN KHUSUS DAN TEROWONGAN
57,5,Tender,Rehabilitasi Pasar Mardika,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Maluku-Ambon (Kota), ","Pekerjaan Konstruksi, ",2020-05-01,13,22743035,157000000000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI MALUKU
58,5,Seleksi,Manajemen Konstruksi Rehabilitasi Pasar Mardika,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Maluku-Ambon (Kota), ","Jasa Konsultansi, ",2020-05-01,15,22743034,4085533000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI MALUKU
59,5,Tender,-     Pengadaan Meubelair Asrama Haji Tahun 2020,Kementerian Agama,-,Barang,2020-05-01,13,22467074,5073875000,1,KANWIL KEMENTERIAN AGAMA PROP SULAWESI TENGGARA 419710
60,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740797,838150000,0,498488
61,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740795,738150000,0,498488
62,5,Pengadaan Langsung,Penggandaan Laporan Keuangan dan Perlengkapan,Kementerian Pertanian,-,Barang,2020-05-01,8,22472533,31056000,1,DIREKTORAT JENDERAL HORTIKULTURA
63,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740800,1038150000,0,498488
64,5,Tender,Pembuatan Instalasi Pengolahan Air,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kab.), ","Pekerjaan Konstruksi, ",2020-05-01,13,22745322,700000000,0,PUSAT PENELITIAN DAN PENGEMBANGAN PERUMAHAN DAN PERMUKIMAN
65,5,Pengadaan Langsung,BELANJA PAKAIAN DINAS HARIAN (PDH),Pemerintah Daerah Kabupaten Barito Timur,-,Jasa Lainnya,2020-05-01,8,22829369,23850000,4,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU
66,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740801,1038150000,0,498488
67,5,Pengadaan Langsung,Penggandaan Dokumen,Kementerian Pertanian,-,Barang,2020-05-01,8,22472528,20000000,1,DIREKTORAT JENDERAL HORTIKULTURA
68,5,Pengadaan Langsung,Buku Pedoman Teknis Hortikultura,Kementerian Pertanian,-,Barang,2020-05-01,8,22472531,35000000,1,DIREKTORAT JENDERAL HORTIKULTURA
69,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740796,800150000,0,498488
70,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-05-01,13,22740794,488150000,0,498488
71,5,Tender,Pekerjaan upgrading IPAL Biotour Anaerob-Semi Aerob,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kab.), ","Pekerjaan Konstruksi, ",2020-05-01,13,22745321,700000000,0,PUSAT PENELITIAN DAN PENGEMBANGAN PERUMAHAN DAN PERMUKIMAN
72,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740798,888150000,0,498488
73,5,Tender,Belanja Jasa Konsultan,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-05-01,13,22740802,788150000,0,498488
