,kode,nama_tender,instansi,status_tender,hps,metode pascakualifikasi,metode pemilihan,metode evaluasi,kategori,9,10,11,12,13,kategori.1,pagu,hps_detail,nama_pemenang,alamat_pemenang,npwp_pemenang,penawaran_pemenang,preprocessing,hps_number,penawaran_pemenang_number,rekomendasi_harga_penawaran
0,6599119,Tenaga Ahli Data Driven Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli data driven kegiatan koordinasi sekretariat dewan tik nasional ta 2020,120000000.0,0.0,108891320.8341825
1,6598119,Tenaga Ahli IT Analisa Sistem   Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"183,5 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli it analisa sistem kegiatan koordinasi sekretariat dewan tik nasional ta 2020,183500000.0,0.0,166512978.1089374
2,6597119,Tenaga Ahli Senior Monitoring dan Evaluasi Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"228,4 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli senior monitoring evaluasi strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020,228400000.0,0.0,207256480.65439403
3,6596119,Tenaga Ahli Senior Perencanaan Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"254,1 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli senior perencanaan strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020,254100000.0,0.0,230577371.86638147
4,6595119,Tenaga Ahli Muda Bidang Energy Policy Kegiatan Koordinasi Penyusunan Rencana Kerja Pemerintah (RKP) 2021 Lingkup Energi Telekomunikasi dan Informatika,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli muda bidang energy policy kegiatan koordinasi penyusunan rencana kerja pemerintah rkp 2021 lingkup energi telekomunikasi informatika,132000000.0,0.0,119780452.91760077
5,6594119,Tenaga Ahli Transportasi (Sektor Jalan dan Darat) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],204 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli transportasi sektor jalan darat kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi,204000000.0,0.0,185115245.41811025
6,6593119,Tenaga Ahli Muda Transportasi (Sektor Laut) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli muda transportasi sektor laut kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi,129900000.0,0.0,117874854.80300257
7,6592119,"Tenaga Ahli Muda Transportasi Kegiatan Integrasi, Harmonisasi, Sinkronisasi dan Sosialisasi RPJMN 2020-2024 lingkup Transportasi",Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli muda transportasi kegiatan integrasi harmonisasi sinkronisasi sosialisasi rpjmn 2020-2024 lingkup transportasi,132000000.0,0.0,119780452.91760077
8,6591119,Tenaga Ahli Muda GIS Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli muda gis kegiatan koordinasi strategis pelaksanaan dak transportasi,129900000.0,0.0,117874854.80300257
9,6590119,Tenaga Ahli Kelembagaan dan Kebijakan Publik Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],264 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan,3,Nilai Kontrak belum dibuat,,,0,,,,,,,0,tenaga ahli kelembagaan kebijakan publik kegiatan koordinasi strategis pelaksanaan dak transportasi,264000000.0,0.0,239560905.8352015
