kode,nama_tender,instansi,status_tender,hps,5,6,7,8,9,10,11,12,13,kategori,pagu,hps_detail,nama_pemenang,alamat_pemenang,npwp_pemenang,penawaran_pemenang,preprocessing
6599119,Tenaga Ahli Data Driven Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli data driven kegiatan koordinasi sekretariat dewan tik nasional ta 2020
6598119,Tenaga Ahli IT Analisa Sistem   Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"183,5 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,3,,,,,,,tenaga ahli it analisa sistem kegiatan koordinasi sekretariat dewan tik nasional ta 2020
6597119,Tenaga Ahli Senior Monitoring dan Evaluasi Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"228,4 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,3,,,,,,,tenaga ahli senior monitoring evaluasi strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020
6596119,Tenaga Ahli Senior Perencanaan Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"254,1 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,3,,,,,,,tenaga ahli senior perencanaan strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020
6595119,Tenaga Ahli Muda Bidang Energy Policy Kegiatan Koordinasi Penyusunan Rencana Kerja Pemerintah (RKP) 2021 Lingkup Energi Telekomunikasi dan Informatika,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli muda bidang energy policy kegiatan koordinasi penyusunan rencana kerja pemerintah rkp 2021 lingkup energi telekomunikasi informatika
6594119,Tenaga Ahli Transportasi (Sektor Jalan dan Darat) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],204 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli transportasi sektor jalan darat kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi
6593119,Tenaga Ahli Muda Transportasi (Sektor Laut) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli muda transportasi sektor laut kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi
6592119,"Tenaga Ahli Muda Transportasi Kegiatan Integrasi, Harmonisasi, Sinkronisasi dan Sosialisasi RPJMN 2020-2024 lingkup Transportasi",Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli muda transportasi kegiatan integrasi harmonisasi sinkronisasi sosialisasi rpjmn 2020-2024 lingkup transportasi
6591119,Tenaga Ahli Muda GIS Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt",Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli muda gis kegiatan koordinasi strategis pelaksanaan dak transportasi
6590119,Tenaga Ahli Kelembagaan dan Kebijakan Publik Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],264 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli kelembagaan kebijakan publik kegiatan koordinasi strategis pelaksanaan dak transportasi
6589119,Tenaga Ahli Ekonomi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli ekonomi kegiatan koordinasi strategis pelaksanaan dak transportasi
6588119,Tenaga Ahli Monitoring dan Evaluasi Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],312 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli monitoring evaluasi kegiatan koordinasi strategis pelaksanaan dak transportasi
6587119,Tenaga Ahli Muda Project Management Kegiatan Persiapan dan Pengembangan Program Compact Tahap II,Kementerian Perencanaan Pembangunan Nasional,Upload Dokumen Penawaran,120 Jt,Pascakualifikasi Dua File,Seleksi,Kualitas,Jasa Konsultansi Perorangan - TA 2020,3,Nilai Kontrak belum dibuat,,,0,4,,,,,,,tenaga ahli muda project management kegiatan persiapan pengembangan program compact tahap ii
6585119,"Perawatan, Pemeliharaan, Keindahan dan Keamanan Gedung LKPP <span class='label label-warning'>Tender Ulang</span>",Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Pemilihan [...],"11,5 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,19,,,,,,,perawatan pemeliharaan keindahan keamanan gedung lkpp span class='label label-warning tender ulang /span
6584119,Pekerjaan Pengadaan Alat Rumah Tangga TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"567,7 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pengadaan Barang - TA 2020,3,Nilai Kontrak belum dibuat,,,0,12,,,,,,,pekerjaan pengadaan alat rumah tangga ta 2020
6583119,Pekerjaan Alat Tulis Kantor TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"1,4 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Pengadaan Barang - TA 2020,3,Nilai Kontrak belum dibuat,,,0,1,,,,,,,pekerjaan alat tulis kantor ta 2020
6582119,Konsultan Pengembangan Aplikasi SPSE II,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],480 Jt,Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha - TA 2020,3,Nilai Kontrak belum dibuat,,,0,7,,,,,,,konsultan pengembangan aplikasi spse ii
6581119,Konsultan Pengembangan Aplikasi SPSE I,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Download Dokumen Kualifikasi [...],715 Jt,Prakualifikasi Dua File,Seleksi,Pagu Anggaran,Jasa Konsultansi Badan Usaha - TA 2020,3,Nilai Kontrak belum dibuat,,,0,7,,,,,,,konsultan pengembangan aplikasi spse i
6580119,Langganan Jasa Layanan Internet di Lingkungan Sekretariat Kabinet TA 2020,Sekretariat Kabinet,Upload Dokumen Penawaran,"1,9 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,10,,,,,,,langganan jasa layanan internet lingkungan sekretariat kabinet ta 2020
6578119,Pekerjaan Sewa Pengharum Ruangan dan Sistem Sanitasi Toilet TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"363,1 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,6,,,,,,,pekerjaan sewa pengharum ruangan sistem sanitasi toilet ta 2020
6577119,Pekerjaan Pemeliharaan Sistem Tata Udara TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"991,3 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,9,,,,,,,pekerjaan pemeliharaan sistem tata udara ta 2020
6576119,"Pekerjaan Pemeliharaan Sistem Pemadam Kebakaran (Hydrant, APAR, Spinkler, dan Fire Alarm) TA. 2020",Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"752,8 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,9,,,,,,,pekerjaan pemeliharaan sistem pemadam kebakaran hydrant apar spinkler fire alarm ta 2020
6575119,Pekerjaan Pemeliharaan Sistem Plumbing dan STP TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"524,1 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,9,,,,,,,pekerjaan pemeliharaan sistem plumbing stp ta 2020
6574119,Pekerjaan Pemeliharaan Sistem Mekanikal dan Elektrikal TA. 2020,Kementerian Perencanaan Pembangunan Nasional,Pembukaan Dokumen Penawaran [...],"824,8 Jt",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,9,,,,,,,pekerjaan pemeliharaan sistem mekanikal elektrikal ta 2020
6573119,-     Cleaning service,Sekretariat Kabinet,"Evaluasi Administrasi, Kualifikasi, Teknis, dan Harga","2,1 M",Pascakualifikasi Satu File,Tender,Harga Terendah Sistem Gugur,Jasa Lainnya - TA 2020,3,Nilai Kontrak belum dibuat,,,0,16,,,,,,,cleaning service
