idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja,preprocessing,kategori_kmeans,kategori_lda
10,E-Purchasing,Pengadaan Lemari Besi Fireproof,Kementerian Keuangan,-,Barang,2023-10-01,9,22319671,23000000,1,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,pengadaan lemari besi fireproof,0,4
10,E-Purchasing,Pengadaan Lemari Besi Fireproof,Kementerian Keuangan,-,Barang,2023-10-01,9,22319671,23000000,1,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,pengadaan lemari besi fireproof,0,4
4,Pengadaan Langsung,Pengadaan Kursi Pejabat,Pemerintah Daerah Kabupaten Buton Tengah,-,Barang,2023-04-01,8,20854093,5000000,1,DINAS KOMUNIKASI INFORMATIKA STATISTIK DAN PERSANDIAN,pengadaan kursi pejabat,7,4
1,Pengadaan Langsung,Belanja Bahan Pakai Habis,Pemerintah Daerah Kota Depok,-,Barang,2021-01-01,8,20376353,10513000,1,DINAS KETAHANAN PANGAN PERTANIAN DAN PERIKANAN,belanja bahan pakai habis,15,10
12,Pengadaan Langsung,Pengadaan Frame Acrilik Poster,Kementerian Kesehatan,-,Barang,2020-12-01,8,22867952,120000000,1,SEKRETARIAT DIREKTORAT JENDERAL PELAYANAN KESEHATAN,pengadaan frame acrilik poster,8,4
12,Tender Cepat,Pengadaan Malware Detonation,Kementerian Hukum Dan Hak Asasi Manusia RI,-,Barang,2020-12-01,14,22726379,2000000000,1,DIREKTORAT JENDERAL ADMINISTRASI HUKUM UMUM,pengadaan malware detonation,18,4
12,Pengadaan Langsung,Belanja Smart Card PKB,Pemerintah Daerah Kabupaten Bantul,-,Barang,2020-12-01,8,22764274,250000000,1,Dinas Perhubungan,belanja smart card pkb,5,10
11,Tender,Pembangunan IPA Kapasitas  50 l/dt SPAM KSPN Tanjung Lesung Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Pandeglang (Kab.), ","Pekerjaan Konstruksi, ",2020-11-01,13,22742317,47396910000,0,PELAKSANAAN PRASARANA PERMUKIMAN PROVINSI BANTEN,pembangunan ipa kapasitas 50 l/dt spam kspn tanjung lesung kab pandeglang,2,0
11,E-Purchasing,Belanja modal pengadaan alat kedokteran umum dari SILPA Dana Kapitasi JKN,Pemerintah Daerah Kabupaten Klungkung,-,Barang,2020-11-01,9,22962548,6545000,1,DINAS KESEHATAN,belanja modal pengadaan alat kedokteran umum silpa dana kapitasi jkn,8,1
11,Pengadaan Langsung,Pengadaan Bahan Operasional Lapang,Kementerian Kelautan Dan Perikanan,-,Barang,2020-11-01,8,22576098,90000000,1,BALAI BUDIDAYA AIR PAYAU SITUBONDO,pengadaan bahan operasional lapang,3,4
