Kode,Nama Paket,Instansi,Tahap,HPS
6599119,Tenaga Ahli Data Driven Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],120 Jt
6598119,Tenaga Ahli IT Analisa Sistem   Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"183,5 Jt"
6597119,Tenaga Ahli Senior Monitoring dan Evaluasi Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"228,4 Jt"
6596119,Tenaga Ahli Senior Perencanaan Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"254,1 Jt"
6595119,Tenaga Ahli Muda Bidang Energy Policy Kegiatan Koordinasi Penyusunan Rencana Kerja Pemerintah (RKP) 2021 Lingkup Energi Telekomunikasi dan Informatika spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt
6594119,Tenaga Ahli Transportasi (Sektor Jalan dan Darat) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],204 Jt
6593119,Tenaga Ahli Muda Transportasi (Sektor Laut) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt"
6592119,"Tenaga Ahli Muda Transportasi Kegiatan Integrasi, Harmonisasi, Sinkronisasi dan Sosialisasi RPJMN 2020-2024 lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],132 Jt
6591119,Tenaga Ahli Muda GIS Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],"129,9 Jt"
6590119,Tenaga Ahli Kelembagaan dan Kebijakan Publik Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,Pengumuman Pascakualifikasi [...],264 Jt
